request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_100,23915.92,affordable_later,wait,2024-08-15:37114,2024-08-15,none,"Pay ZAR 37,114 in full on 15 August 2024. Paying earlier would take the balance below the ZAR 32,500 minimum."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1077.24,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,716 request. Although EUR 1,077.24 is available today, the full amount cannot be completed safely within 90 days."
request_103,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 October 2024. None of the available options keeps the INR 125,500 minimum protected."
request_104,883.88,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 17,204 request. Although ZAR 883.88 is available today, the full amount cannot be completed safely within 90 days."
request_105,50290.12,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:event_9720:1632|reduce_to:event_9721:1720,"Reduce the shopping expense (event_9720) to INR 1,632 and Reduce the entertainment expense (event_9721) to INR 1,720, then pay INR 53,500 today. This leaves at least INR 73,900 available."
request_106,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 February 2025. None of the available options keeps the EUR 1,200 minimum protected."
request_107,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 July 2025. None of the available options keeps the EUR 1,600 minimum protected."
request_108,785.24,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 55,308 request. Although ZAR 785.24 is available today, the full amount cannot be completed safely within 90 days."
request_109,359.04,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,863.40 request. Although EUR 359.04 is available today, the full amount cannot be completed safely within 90 days."
request_110,19445.06,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 22,352 request. Although ZAR 19,445.06 is available today, the full amount cannot be completed safely within 90 days."
request_111,13667973.25,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 16,625,000 request. Although IDR 13,667,973.25 is available today, the full amount cannot be completed safely within 90 days."
request_112,0,not_affordable,not_recommended,none,,none,Do not make this payment by 14 June 2024. None of the available options keeps the EUR 500 minimum protected.
request_113,19295.63,affordable_later,wait,2026-10-15:36500,2026-10-15,none,"Pay INR 36,500 in full on 15 October 2026. Paying earlier would take the balance below the INR 82,300 minimum."
request_114,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 January 2026. None of the available options keeps the INR 113,400 minimum protected."
request_115,13816.98,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the INR 80,300 minimum protected."
request_117,792.37,affordable_later,wait,2026-07-15:880,2026-07-15,none,"Pay EUR 880 in full on 15 July 2026. Paying earlier would take the balance below the EUR 1,000 minimum."
request_118,574.17,not_affordable,not_recommended,none,2025-02-15,none,Do not make this payment by 8 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_119,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 July 2025. None of the available options keeps the INR 151,200 minimum protected."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 March 2026. None of the available options keeps the IDR 18,091,200 minimum protected."
request_124,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 August 2024. None of the available options keeps the EUR 1,600 minimum protected."
request_125,5252.85,affordable_later,wait,2025-12-15:6468,2025-12-15,none,"Pay ZAR 6,468 in full on 15 December 2025. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_126,41615.19,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 159,600 request. Although INR 41,615.19 is available today, the full amount cannot be completed safely within 90 days."
request_127,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 October 2024. None of the available options keeps the ZAR 41,000 minimum protected."
request_128,25131.38,affordable_with_plan,full_payment,2025-02-07:25168,2025-02-15,reduce_to:event_11812:1058.20,"Reduce the entertainment expense (event_11812) to ZAR 1,058.20, then pay ZAR 25,168 today. This leaves at least ZAR 42,600 available."
request_129,92.64,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.80 request. Although USD 92.64 is available today, the full amount cannot be completed safely within 90 days."
request_130,303.82,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,978.80 request. Although USD 303.82 is available today, the full amount cannot be completed safely within 90 days."
request_131,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 8 July 2025. None of the available options keeps the USD 1,100 minimum protected."
request_132,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 February 2026. None of the available options keeps the USD 1,100 minimum protected."
request_133,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected."
